@RELATION LeftWrist
@ATTRIBUTE mean_x numeric
@ATTRIBUTE mean_y numeric
@ATTRIBUTE mean_z numeric
@ATTRIBUTE energy_x numeric
@ATTRIBUTE energy_y numeric
@ATTRIBUTE energy_z numeric
@ATTRIBUTE normEn_x numeric
@ATTRIBUTE normEn_y numeric
@ATTRIBUTE normEn_z numeric
@ATTRIBUTE corr_x numeric
@ATTRIBUTE corr_y numeric
@ATTRIBUTE corr_z numeric
@ATTRIBUTE label{0.000000,101.000000,102.000000,104.000000,105.000000}
@DATA
-313.156250,130.625000,-85.523438,14515894.299213,86602266.204724,30047506.070866,5.986649,5.660482,5.916646,-0.493165,0.518727,-0.207275,0.000000
-434.265625,330.570313,-5.304688,19536050.362205,86184644.905512,9138439.173228,5.849310,5.397232,6.238634,-0.527676,0.087959,-0.249311,0.000000
-449.726563,895.117188,26.218750,414346.511811,106202.952756,201215.874016,6.281251,6.570152,6.565445,0.516483,-0.444660,-0.277145,0.000000
-409.664063,913.414063,32.679688,374750.291339,325340.779528,364924.842520,6.581874,6.449853,6.428864,0.234029,0.207188,-0.176785,0.000000
-404.421875,912.148438,59.617188,617362.362205,503241.755906,350784.748031,6.472035,6.541095,6.565139,0.104652,0.427864,0.000705,0.000000
-404.375000,914.289063,69.867188,1026267.716535,657029.346457,357104.622047,6.502082,6.648293,6.597985,-0.006871,0.473570,-0.059891,0.000000
-417.953125,911.304688,80.445313,1340260.503937,777854.102362,410905.818898,6.560537,6.600521,6.455101,-0.118328,0.462736,-0.263607,0.000000
-395.921875,917.632813,72.664063,1068075.559055,404358.795276,286682.259843,6.589390,6.683448,6.605024,-0.040050,0.223707,-0.448287,0.000000
-369.203125,928.281250,78.304688,320325.259843,68853.795276,199479.551181,6.338476,6.706150,6.590852,0.428360,-0.302914,-0.429096,0.000000
-376.085938,924.921875,99.281250,120426.889764,51158.897638,135038.866142,6.724532,6.650975,6.694305,0.033490,-0.158537,-0.065708,0.000000
-374.507813,924.812500,109.078125,188730.448819,66823.559055,136285.952756,6.704677,6.723700,6.682213,-0.135260,-0.309710,0.159296,0.000000
-389.242188,917.945313,116.953125,273850.952756,121919.110236,228248.913386,6.537624,6.712546,6.694819,-0.084457,-0.072751,-0.043225,0.000000
-406.906250,909.429688,121.781250,219215.496063,101294.732283,210885.417323,6.536277,6.712747,6.613692,-0.017208,0.010896,-0.128652,0.000000
-401.507813,911.367188,132.992188,222095.110236,55715.015748,117617.881890,6.605694,6.768202,6.812114,0.289653,-0.080064,0.087325,0.000000
-398.906250,914.250000,137.250000,198785.889764,57454.866142,123303.307087,6.667734,6.752350,6.818801,0.295147,-0.154482,-0.095547,0.000000
-404.820313,911.546875,133.875000,216199.929134,72334.834646,120997.291339,6.626330,6.666869,6.761982,0.396995,-0.129960,-0.147774,0.000000
-394.882813,913.289063,133.960938,281762.511811,84907.645669,160240.685039,6.688378,6.716970,6.736740,0.224434,-0.187014,0.041321,0.000000
-386.742188,917.140625,138.414063,267208.055118,83257.921260,212801.566929,6.663799,6.759158,6.664598,0.142269,-0.260409,-0.105994,0.000000
-385.859375,918.445313,144.929688,231473.858268,90696.181102,155922.511811,6.622265,6.775585,6.689512,0.132227,-0.191153,-0.145600,0.000000
-389.437500,917.179688,142.234375,242179.527559,85400.055118,128059.433071,6.671624,6.816099,6.716861,0.062121,-0.137475,0.024398,0.000000
-391.242188,912.867188,146.234375,249498.700787,71219.141732,192202.551181,6.673383,6.657927,6.600875,0.036738,-0.099678,0.127150,0.000000
-392.265625,907.070313,165.687500,219489.732283,77513.944882,181660.724409,6.630607,6.716717,6.615039,0.001757,-0.163561,0.200838,0.000000
-396.359375,904.343750,171.882813,171717.007874,72585.952756,126350.354331,6.692413,6.773787,6.737890,0.056764,-0.238783,0.165461,0.000000
-385.210938,911.710938,163.585938,145441.566929,57920.811024,122074.763780,6.611549,6.762366,6.780223,0.120421,-0.127080,-0.027595,0.000000
-381.453125,913.390625,164.273438,234600.535433,62061.322835,109517.031496,6.588699,6.764568,6.766098,0.277769,-0.206063,-0.142458,0.000000
-386.726563,911.585938,166.281250,257341.913386,63591.866142,113516.724409,6.562496,6.656518,6.810913,0.399836,-0.302494,-0.212587,0.000000
-390.312500,910.390625,165.101563,144816.881890,104418.236220,127562.259843,6.594523,6.650844,6.799024,0.094826,-0.024435,-0.127604,0.000000
