@RELATION RightWrist
@ATTRIBUTE mean_x numeric
@ATTRIBUTE mean_y numeric
@ATTRIBUTE mean_z numeric
@ATTRIBUTE energy_x numeric
@ATTRIBUTE energy_y numeric
@ATTRIBUTE energy_z numeric
@ATTRIBUTE normEn_x numeric
@ATTRIBUTE normEn_y numeric
@ATTRIBUTE normEn_z numeric
@ATTRIBUTE corr_x numeric
@ATTRIBUTE corr_y numeric
@ATTRIBUTE corr_z numeric
@ATTRIBUTE label{0.000000,101.000000,102.000000,104.000000,105.000000}
@DATA
-7.132813,169.953125,486.125000,20918579.141732,92522898.866142,8192745.826772,6.768764,5.945484,6.539979,-0.207947,-0.028867,-0.098944,0.000000
92.039063,-682.835938,546.789063,26255562.385827,16353184.811024,5619558.102362,6.669031,6.611888,6.639556,0.531388,0.171089,0.004451,0.000000
-62.835938,162.046875,553.500000,10971046.858268,86582082.236221,4312602.204724,6.092130,5.490582,6.067627,-0.436540,-0.283631,-0.094246,0.000000
-169.570313,955.070313,388.781250,2306174.354331,1355943.677165,4345418.456693,6.219511,6.563176,6.151453,-0.597085,0.514771,-0.718199,0.000000
-148.265625,967.039063,253.406250,314286.330709,139383.740157,502373.669291,6.376369,6.630262,6.614954,-0.160652,-0.375619,-0.126984,0.000000
-101.523438,984.851563,201.226563,903331.204724,457149.661417,446613.598425,6.246102,6.731572,6.665957,-0.050068,0.043398,-0.599071,0.000000
-71.914063,990.179688,189.429688,843155.204724,916087.803150,523005.346457,6.384724,6.787367,6.650619,-0.163629,0.064815,-0.624328,0.000000
-98.757813,981.710938,215.109375,730327.173228,1008577.818898,568705.480315,6.385390,6.762439,6.654742,-0.262711,-0.002145,-0.613433,0.000000
-131.117188,974.921875,227.734375,469136.370079,501098.047244,622730.047244,6.546433,6.815509,6.469878,-0.291382,0.049763,-0.055536,0.000000
-149.179688,979.039063,198.164063,206090.952756,61293.661417,725947.015748,6.370646,6.742814,6.447370,-0.175933,-0.148141,0.628697,0.000000
-116.757813,984.804688,189.867188,246936.685039,43340.716535,451683.519685,6.331318,6.813691,6.563495,-0.013415,-0.258426,0.552745,0.000000
-85.875000,982.109375,224.289063,59170.267717,81027.496063,263406.165354,6.749578,6.752681,6.750274,0.117368,-0.211595,0.049402,0.000000
-99.812500,974.367188,245.687500,176268.598425,103020.590551,208867.275591,6.528909,6.702862,6.761313,0.167319,-0.201977,-0.048842,0.000000
-128.500000,963.593750,278.898438,226717.228346,119298.897638,340931.204724,6.491466,6.664976,6.601886,0.271469,-0.163330,-0.320882,0.000000
-136.429688,954.757813,308.390625,112988.086614,108182.669291,222174.204724,6.650010,6.686560,6.736361,0.123466,0.286292,-0.095562,0.000000
-130.242188,951.281250,309.664063,101939.897638,80154.078740,179748.842520,6.694656,6.725894,6.768455,-0.103452,0.233035,0.079360,0.000000
-130.273438,952.343750,313.992188,117936.811024,76516.661417,160553.314961,6.707134,6.759127,6.813127,-0.043213,-0.008444,0.199837,0.000000
-130.937500,953.429688,313.093750,88849.637795,77043.267717,191029.291339,6.792337,6.742319,6.811590,-0.068187,-0.025714,0.063594,0.000000
-127.335938,953.359375,307.039063,94194.448819,64138.551181,207072.559055,6.718582,6.745106,6.794981,0.004246,-0.075551,-0.042775,0.000000
-122.312500,954.843750,303.492188,78266.960630,63505.007874,220514.763780,6.739850,6.755092,6.795239,0.110318,0.014494,0.122831,0.000000
-122.992188,957.234375,300.703125,94039.677165,81231.590551,247468.062992,6.670074,6.723159,6.703410,0.077305,-0.028677,0.045140,0.000000
-113.992188,958.382813,306.171875,155241.818898,86627.015748,279542.141732,6.506771,6.789207,6.730108,-0.062127,-0.169389,0.092674,0.000000
-98.695313,957.429688,316.468750,124338.511811,69601.125984,268453.165354,6.571231,6.752540,6.711073,-0.092629,-0.143063,0.129296,0.000000
-92.492188,956.906250,322.242188,69890.007874,54569.196850,232245.913386,6.698306,6.822659,6.738596,0.016028,-0.118455,0.036985,0.000000
-101.125000,958.718750,310.718750,76019.905512,50238.362205,228740.913386,6.745585,6.760549,6.737345,-0.066940,-0.188322,0.131802,0.000000
-110.992188,959.539063,303.906250,53771.078740,40814.669291,210856.188976,6.727626,6.787590,6.736518,-0.114467,-0.108747,-0.001201,0.000000
-108.406250,958.734375,311.640625,53285.165354,59761.858268,215196.692913,6.724008,6.716764,6.713463,-0.104623,-0.025962,-0.015753,0.000000
-108.070313,957.117188,313.195313,59237.157480,75789.346457,203955.519685,6.831944,6.656624,6.740648,-0.138491,0.036610,-0.155625,0.000000
-108.726563,954.054688,316.023438,56525.031496,68269.976378,178465.188976,6.708668,6.719421,6.746441,-0.187602,-0.047528,-0.036896,0.000000
-111.921875,953.531250,317.539063,77369.669291,50202.078740,176972.401575,6.688949,6.758642,6.797073,-0.126113,-0.129358,0.018963,0.000000
-125.843750,951.414063,316.562500,156366.488189,71340.401575,191824.125984,6.860162,6.807991,6.789824,0.410129,0.120112,0.088268,0.000000
-135.523438,950.429688,317.843750,187686.228346,74866.259843,192905.952756,6.805077,6.750564,6.727440,0.502182,0.226538,0.225468,0.000000
-136.156250,951.382813,318.812500,116654.236220,51423.992126,232572.472441,6.868039,6.815592,6.725149,0.174342,0.146859,0.225852,0.000000
-130.625000,949.703125,321.750000,127125.165354,81713.102362,314440.566929,6.701523,6.822031,6.692628,0.310620,0.230428,0.230295,0.000000
-118.710938,951.359375,324.265625,173128.874016,84247.653543,315334.519685,6.729906,6.818949,6.645976,0.305862,0.329987,0.194775,0.000000
-110.156250,954.335938,321.828125,118474.456693,54933.724409,270874.425197,6.660432,6.793288,6.650110,0.161746,0.232084,0.178650,0.000000
-107.289063,951.140625,322.367188,159450.007874,70558.708661,255602.637795,6.748159,6.734991,6.739666,0.119072,0.137801,0.003637,0.000000
-112.468750,949.304688,334.742188,195009.385827,70560.370079,282037.913386,6.659734,6.666594,6.757195,-0.037682,0.117413,-0.280879,0.000000
-113.445313,951.882813,328.148438,128809.944882,49354.826772,264000.685039,6.593534,6.642250,6.708563,-0.077521,-0.030336,-0.315941,0.000000
-105.085938,954.070313,309.304688,95419.519685,54721.881890,174579.015748,6.694845,6.735051,6.726783,-0.188634,-0.009092,-0.118381,0.000000
-112.812500,953.906250,304.148438,88359.811024,50457.070866,183068.401575,6.676915,6.782504,6.771419,-0.156224,-0.019696,-0.035134,0.000000
-131.109375,960.984375,299.617188,197358.330709,178794.803150,331064.685039,6.575722,6.585160,6.577201,0.106716,0.371708,0.211081,101.000000
-131.328125,964.804688,289.789063,243639.653543,189538.889764,339898.763780,6.530103,6.588261,6.572511,0.162765,0.243241,0.141799,101.000000
-135.398438,964.468750,284.640625,182488.370079,158828.724409,328058.425197,6.648421,6.546045,6.498099,0.130720,0.197678,0.005597,101.000000
-134.843750,959.406250,286.929688,155983.496063,132536.314961,267113.188976,6.768678,6.583303,6.712773,-0.092655,0.179729,-0.040566,101.000000
-141.890625,959.945313,282.546875,162233.921260,138347.456693,431416.157480,6.711986,6.638901,6.533698,-0.103638,-0.015294,0.150022,101.000000
-154.390625,960.046875,284.210938,270777.921260,192904.787402,584352.559055,6.400291,6.613221,6.522083,0.510275,-0.086129,0.118114,101.000000
-148.914063,957.515625,298.250000,248015.677165,157446.015748,399926.425197,6.449370,6.638863,6.635309,0.550081,-0.042666,0.116917,101.000000
-142.882813,957.960938,290.070313,102739.897638,42351.677165,214129.251969,6.693626,6.759992,6.732764,0.123160,-0.055602,0.093372,101.000000
-152.179688,954.953125,291.257813,182141.850394,55098.173228,218844.212598,6.683888,6.739059,6.750529,0.410581,-0.216900,-0.255251,101.000000
-156.367188,952.843750,293.882813,142896.118110,52533.291339,211981.346457,6.639888,6.768055,6.754127,0.328432,-0.150877,-0.265279,101.000000
-156.015625,953.039063,289.414063,57055.716535,36544.307087,204071.362205,6.759917,6.758583,6.784897,0.131972,0.012709,-0.114720,101.000000
-159.281250,955.718750,288.343750,67735.055118,36204.724409,207504.000000,6.709948,6.761927,6.704288,0.118530,-0.069544,-0.198987,101.000000
-154.468750,958.671875,291.226563,83607.055118,49668.251969,169803.015748,6.757155,6.761871,6.675560,0.170797,-0.124371,-0.180127,101.000000
-103.226563,953.093750,315.125000,399114.511811,70969.322835,252716.346457,6.191107,6.683985,6.610062,-0.087536,-0.082464,0.256124,101.000000
-51.890625,959.960938,310.984375,285375.968504,314177.314961,389470.708661,6.545620,6.548364,6.645809,0.262332,0.165073,-0.194446,101.000000
